Diretor, ator1, ator2, ator3, ator 4, nota
Piero Costa,Virginia Mayo,Conrado San Martín,Susana Canales,Livio Lorenzon,4.8
Sergio Corbucci,Franco Nero,Tony Musante,Franco Giacobini,Eduardo Fajardo,7.3
Simon West,Sylvester Stallone,Jason Statham,Jet Li,Dolph Lundgren,6.7
Christopher Ray,Zoë Bell,Kristanna Loken,Vivica A. Fox,Brigitte Nielsen,3.7
Patrick (III) Hughes,Sylvester Stallone,Jason Statham,Harrison Ford,Arnold Schwarzenegger,6.1
ParisLeonti,Robert Fucilla,Kirsty Mitchell,Rob James-Collier,Danny Sapani,3.6
José Antonio dela Loma,Jorge Rivero,Maud Adams,Susana Dosamantes,George Peppard,5.1
Mel Welles,Ray Danton,Pascale Petit,Günther Stoll,George Rigaud,5.7
Roger (II) Watkins,Jamie Gillis,Howard Feline,Dixie Dew,Frederick Rein,6.7
Jack Cardiff,Rod Taylor,Yvette Mimieux,Peter Carsten,Jim Brown,6.9
Chuck Workman,Stuart Whitman,Robert Vaughn,Woody Strode,Albert Salmi,4.2
Eric Louzil,Gene Lebrock,Kellee Bradley,David V Crane,William J. Kulzer,3.5
Mario Bonnard,Daniela Rocca,Antonio Cifariello,Yvonne Sanson,Livio Lorenzon,5.7
Claude Zidi,Jean-Guy Fechner,Gérard Filipelli,Luis Rego,Gérard Rinaldi,5.1
Hélène Angel,Daniel Auteuil,Nicolas Nollet,Sergi López,Emmanuelle Devos,4.5
DonE. FauntLeRoy,Steven Seagal,Jacqueline Lord,Roger Guenveur Smith,Luke Goss,4.1
Leandro Lucchetti,Vassili Karis,Bruno Bilotta,Maurice Poli,Marlee Foster,4.7
Dinos Mavroeidis,Martha Vourtsi,Maro Kodou,Timos Perlegas,Ketty Grigoratou,5.2
Karsten Krause,Lisa Arndt,Cora Frost,Kenneth Huber,Odine Johne,4.2
Avi Nesher,Olivier Gruner,John Ritter,Robert Culp,Ed Lauter,5.3
TedV. Mikels,Michael Ansara,Francine York,Anthony Eisley,John V Carter,3.7
Gillo Pontecorvo,Marlon Brando,Evaristo Márquez,Renato Salvatori,Dana Ghia,7.5
Agustín P. Delgado,María Antonieta Pons,Marco Antonio Campos,Gaspar Henaine,Luis Lomelí,6.9
Jeremiah Hundley,Danny Trejo,Gary Daniels,Krystal Vee,John EdwardLee,2.9
Issa López,Marinade Tavira,Alejandra Gollas,Arturo Barba,Pedro zquierdo,6.7
Baccio Bandini,Stewart Granger,Sylva Koscina,Christine Kaufmann,Riccardo Garrone,5.8
Hong Lu Wong,Alan English,Paul John,C. Gargett,Nian Watts,5.9
Ferdinando Baldi,Dean Reed,Albertode Mendoza,Annabella ncontrera,Paca Gabaldón,5.4
James Parrott,Stan Laurel,Oliver Hardy,Enrique Acosta,Bobby Burns,6.9
Joe D'Amato,Rocco Siffredi,Antonella Del Lago,Maria De Sanchez,Ursula Moore,5.9
José Antonio Nieves Conde,Manuel Alexandre,Ferdinand Anton,Francisco Bernal,Rafael Calvo Revilla,7.2
Shôji Kôkami,Kippei Shîna,Kyoko Fukada,Junnoue,Masatoshi Nakamura,5.4
